회차,등위,상호명,당첨방식,소재지
1188,1등,또와요로또방,수동,서울 동대문구 왕산로 270-1 1층
1188,1등,구일 로또 전자담배,자동,서울 구로구 구일로8길 63 한신상가 102호
1188,1등,성강동인,자동,경기 하남시 신장로 212 1층 2호
1188,1등,대박슈퍼,수동,인천 부평구 경원대로 1438
1188,1등,대박슈퍼,수동,인천 부평구 경원대로 1438
1188,1등,드림복권전문점,수동,경기 평택시 평남로 651
1188,1등,동아슈퍼,수동,경남 김해시 전하로 253 동아그린아파트상가 103동 101호
1188,1등,영일대 복권방,자동,경북 포항시 북구 학전로 26 1층항구동
1188,1등,대박슈퍼,수동,인천 부평구 경원대로 1438
1188,1등,대박슈퍼,수동,인천 부평구 경원대로 1438
1188,1등,대박슈퍼,수동,인천 부평구 경원대로 1438
1187,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr)
1187,1등,하당복권방,자동,전남 목포시 옥암로 46
1187,1등,1번지복권방,자동,경기 성남시 중원구 희망로 448 1층일부 (금광동)
1187,1등,꿈이있는로또,자동,경기 여주시 경충대로 1490 오일뱅크 주유소
1187,1등,코사마트역전점,자동,경기 평택시 중앙2로 1
1187,1등,셀피아,자동,울산 북구 무룡로 29 울산광역시 북구 연암동 417-1 1층
1187,1등,가든파이브 복권,자동,서울 송파구 충민로 52 가든파이브웍스 제지1층 제비에프10777-2호
1187,1등,나눔로또봉평점,수동,경남 통영시 도남로 81
1187,1등,대풍로또판매점,자동,경남 김해시 번화2로 36
1187,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr)
1187,1등,진빈레코드,자동,경남 밀양시 북성로 7
1186,1등,보성정보통신,반자동,서울 동대문구 장한로2길 24
1186,1등,네잎클로버,수동,울산 북구 당수골6길 20 1층
1186,1등,미리 대박 복권,수동,대전 서구 둔산남로105번길 19
1186,1등,한국인세계대박복권,자동,인천 연수구 한나루로197번길 34
1186,1등,황금알복권방,수동,충북 진천군 상산로 71
1186,1등,행운복권방 보생당건강원,자동,전북 익산시 무왕로 1268
1186,1등,복권마트 & 씨스페이스 홍천점,자동,강원 홍천군 홍천로 409 1층
1186,1등,광성슈퍼,자동,경기 이천시 단월로 33
1186,1등,씨월드,자동,경기 남양주시 별내2로 64 109호
1186,1등,창원로또명당,자동,경남 창원시 성산구 용지로113번길 8
1186,1등,만물할인슈퍼,자동,경남 창원시 성산구 대정로 145 개나리1차상가107호
1186,1등,행복마트,수동,경북 김천시 혁신로 185 메타폴리스상가 120호
1186,1등,일레븐마트무선점,자동,전남 여수시 성산로 19
1186,1등,희망드림(동행복권),반자동,서울 광진구 뚝섬로30길 47
1185,1등,천하제일명당,자동,부산 부산진구 골드테마길 42
