회차,등위,상호명,당첨방식,소재지,cleaned_address
1194,1등,예스복권방,자동,충남 천안시 동남구 천안천공원6길 14-5 1층,충남 천안시 동남구 천안천공원6길 14-5
1194,1등,행운복권방,수동,전북 부안군 번영로 109,전북 부안군 번영로 109
1194,1등,153로또판매점,수동,충남 아산시 배방로 57-23,충남 아산시 배방로 57-23
1194,1등,미나식품(로또판매점),수동,서울 강서구 금낭화로 91-12,서울 강서구 금낭화로 91-12
1194,1등,로타리상회,수동,경북 구미시 산호대로 199 상가1층4호,경북 구미시 산호대로 199
1194,1등,1등복권방,반자동,인천 연수구 해돋이로 168 (송도동 21-13 혜인프라자 104호),인천 연수구 해돋이로 168
1194,1등,속초등대로또복권,자동,강원 속초시 영금정로 23,강원 속초시 영금정로 23
1194,1등,왕대박복권,수동,강원 속초시 번영로 142 1층 102호,강원 속초시 번영로 142
1194,1등,복드림로또판매점,반자동,충북 충주시 첨단산업9로 13 1충,충북 충주시 첨단산업9로 13
1194,1등,왕대박복권전문점,수동,강원 동해시 중앙로 234 이주민상가1층18호,강원 동해시 중앙로 234
1194,1등,황금마트,수동,경기 평택시 현신3길 5-9,경기 평택시 현신3길 5-9
1194,1등,행운슈퍼,수동,경기 화성시 병점3로 37 106호,경기 화성시 병점3로 37
1194,1등,범섬로또,수동,제주 서귀포시 월드컵로 169,제주 서귀포시 월드컵로 169
1194,1등,황금열쇠복권방,수동,울산 북구 신기15길 2,울산 북구 신기15길 2
1194,1등,로또복권판매 초전점,반자동,경남 진주시 대신로457번길 9 1층,경남 진주시 대신로 457번길 9
1194,1등,지에스(GS)25 기장읍내로,수동,부산 기장군 읍내로94번길 2,부산 기장군 읍내로 94번길 2
1194,1등,희망복권판매점,수동,인천 서구 보듬5로 5 104호일부,인천 서구 보듬5로 5
1194,1등,로또성지,수동,부산 부산진구 백양관문로 104-1,부산 부산진구 백양관문로 104-1
1194,1등,씨유 송도점,수동,인천 연수구 인권로 9 1층 CU,인천 연수구 인권로 9
1194,1등,알리바이,수동,광주 광산구 수등로 253 1층 알리바이,광주 광산구 수등로 253
1194,1등,행복나눔로또,자동,경기 남양주시 마석로 37 101호,경기 남양주시 마석로 37
1194,1등,종로3가1호선역2번출구가로판매점82호,수동,서울 종로구 돈화문로 23 가판,서울 종로구 돈화문로 23
1193,1등,보경복권,수동,울산 북구 명촌6길 7,울산 북구 명촌6길 7
1193,1등,희망복권,자동,인천 서구 가정로151번길 11 삼성홈플러스가좌점1층,인천 서구 가정로 151번길 11
1193,1등,오거리복권방,수동,서울 용산구 소월로20길 12,서울 용산구 소월로 20길 12
1193,1등,코리아슈퍼,자동,대구 달서구 달구벌대로 1130 1층 코리아마트내,대구 달서구 달구벌대로 1130
1193,1등,행운복권,수동,서울 영등포구 도신로65길 2 1층(신길동),서울 영등포구 도신로 65길 2
1193,1등,지에스(GS)25 신길센트럴점,자동,서울 영등포구 도림로 308 1층,서울 영등포구 도림로 308
1193,1등,스파,자동,서울 노원구 동일로 1493 주공10단지종합상가111,서울 노원구 동일로 1493
1193,1등,미나식품(로또판매점),자동,서울 강서구 금낭화로 91-12,서울 강서구 금낭화로 91-12
1193,1등,메트로센터점,수동,대구 중구 달구벌대로 지하 2100 메트로센터C412호,대구 중구 달구벌대로 지하 2100
1193,1등,유성로또복권상회,자동,강원 원주시 평원로 45 1층,강원 원주시 평원로 45
1193,1등,돈벼락 복권,자동,제주 제주시 흥운길 12,제주 제주시 흥운길 12
1193,1등,합천우리복권방,자동,경남 합천군 핫들2로 8 1층,경남 합천군 핫들2로 8
1193,1등,고양월드식품복권,수동,경기 고양시 덕양구 혜음로 8 삼라마이다스프라자 제1층 제115호,경기 고양시 덕양구 혜음로 8
1193,1등,소망복권판매점,수동,경기 김포시 청송로 26 102-1호,경기 김포시 청송로 26
1193,1등,조은하루,수동,경기 용인시 처인구 낙은로 22,경기 용인시 처인구 낙은로 22
1193,1등,복권백화점,자동,경기 파주시 평화로 70,경기 파주시 평화로 70
